Date,Time,Agent_X_Type,Agent_O_Type,Winner,Num_Moves,Game_Duration_Seconds,Final_Board_State
2025-04-19,16:51:22,Medium,Random,X,41,1.65,XO OOXXOOXXX    OOOO   X O X  X OO OOX    O O   OX OO X  X  X O  XXXX   XXX      
2025-04-19,16:51:23,Learning,Medium,O,54,0.99,XOOXOXO XX  X O  XX XOXOOOO O XO  O OXO XOXXXOOXXOOXOXO XX XO  O  XXX X OOO      
2025-04-19,16:51:23,Easy,Easy,X,35,0.08,XOOOOO   XOXX  X  XOXOOO   XOXOX X  XXOXO X  XXX      OOO                        
2025-04-19,16:51:24,Easy,Easy,X,35,0.08,XOOOOO   XOXX  X  XOXOOO   XOXOX X  XXOXO X  XXX      OOO                        
2025-04-19,16:51:48,MCTS,Medium,X,45,24.37, XOOX  X OXO XO  OO X OOXXXXOOXO XXOXXXO      X  X OX  O  XX   OO OO O      XO X 
2025-04-19,16:54:50,Random,Random,X,59,0.0,XXO OO XO OX X OOOOX OO X XOOXOXX XXXOOXOOX XX  XXOXO XX OOOX  OXO XXO  OXX   OXO
2025-04-19,16:54:52,Medium,Easy,X,37,1.85,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,16:54:53,Easy,Medium,O,26,1.2,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,16:55:44,Hard,Hard,X,53,51.19,XOOOOO   XOXXO  O XOXOOX XXXXOOXXXOOXXX      X OX OX     OOO   OOXXOOXX OX OX  X 
2025-04-19,16:55:45,Medium,Random,X,47,0.92,X OOXO  XOX OOOX  X X O O OXXOOXO X OOXX OOO  X  X  X   X X XO  X  X OXOXO X   O 
2025-04-19,16:56:21,Hard,Easy,X,37,35.25,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,16:56:22,Medium,Random,X,51,1.42,XO OO  O XXOO OXOOXOX XOOOXXXX O O    OXXOO OXXX     OOXOOXX   XXX      X OXX XO 
2025-04-19,16:57:03,MCTS,MCTS,X,41,41.09,OO   X OOXXX    OO   OOO X   X OX  XX OXX X   OOO XOO      X OOXX X  X O  XO X  X
2025-04-19,16:57:30,MCTS,Medium,O,52,26.98,XOXX  XX   OXXOXOOO X  X  XO OXO X O O XXX   O  OOX  OOOO      OXXXOXXOOXOO OXXOX
2025-04-19,16:57:30,Easy,Random,O,34,0.02,XOO OOO  X O O O OXXOX O OO     O   XX       XXX      XXX   O  XXX    O X      O 
2025-04-19,16:57:56,MCTS,Medium,X,47,25.73, X OX  X  O XXX X O O XOXXXOX XXO XXOOO       XOOXX XX   OXO  XOO O OO     OXOO O
2025-04-19,16:58:21,Random,MCTS,O,50,25.05, X    OOOXXO O O  O XXXXXO  XO XO   OOO  XOOXXX OXXOOXOOO X X XX X XOXX   O  O  O
2025-04-19,16:58:54,MCTS,Hard,X,39,32.61,X O X  XXXXO X   X OX  X  XO  XX X   O OOXXOXO  OOX O    OOO    O  XX   OOO      
2025-04-19,16:59:37,MCTS,MCTS,X,43,43.15,O XOX X  OO  X  XOXXX O O     OXX  XO  OO XXXX  X O   OXO X  X XXO  O OO O  O  OX
2025-04-19,16:59:39,Medium,Medium,X,51,2.14,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,16:59:39,Random,Medium,O,44,0.61,XXOXOXXX OOO X X  X   X X XOXOXX  X OXO O XXXO  O     OOOO     OOO  X    X OOO   
2025-04-19,16:59:42,Medium,Medium,X,51,2.26,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,17:00:01,Random,MCTS,O,38,19.06, X  X  X OX XX  X OOO     X O  X   O OX O  OO    X     OX O  O OOXXXO XX O  O XOX
2025-04-19,17:00:02,Easy,Medium,O,26,1.1,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:00:02,Random,Random,Draw,73,0.0,OXXXXOOOXOXOOXXXOO OXOXOXOOOXXOOOXOXXXXXOOOXO  XOXOX XOO XOXOOXXXX O XX XOOXOXOOX
2025-04-19,17:00:13,Easy,MCTS,O,22,11.09,X  OOO   X O  O  OOXO  O  OX        XX  O    XXX                        XX       
2025-04-19,17:00:43,Easy,Hard,O,26,30.12,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:00:55,Easy,MCTS,O,24,12.13,X O O O  XXOOOO   XXO O O  XO       XXX      X        XX  O                      
2025-04-19,17:01:12,MCTS,Random,X,33,17.06,  O X  X   OX   X   X  XO XOO  O   O  OX  X  X  XOOX   X   O XO O   OO     XXX  O
2025-04-19,17:01:14,Medium,Medium,X,51,2.09,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,17:01:15,Medium,Random,X,35,1.01,XXXOO O  OOX O O    OX O  OX   OO  OOXOXXXO  OX  X    XXX                  XXX   
2025-04-19,17:01:50,Hard,Easy,X,37,34.24,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:01:58,Hard,Random,X,31,8.71,XX   OOOO OX  OOOOO OXX   O  O    O       O   X X     XXX      XXX      XXX      
2025-04-19,17:02:22,Medium,Hard,Draw,50,23.37,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:03:21,Hard,MCTS,O,42,58.94,X O  O OOOX OXOOO XXO  O  OO XXO   OOXX XX O XXX  O      OO  X XX XO    X  X  X  
2025-04-19,17:03:22,Easy,Medium,O,26,1.02,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:03:41,MCTS,Random,X,37,19.12,OOX  X      O  XXXOOXX OO   X   X  OX   X   XXOXO  O   O  O  O   X  X OX XO  OX O
2025-04-19,17:04:02,Medium,MCTS,O,40,21.17,XX OOO   O   O XOO   OOO      XOXXOXXXX       XXOOOXO X  O XO O   XXX     X  XO  
2025-04-19,17:04:02,Easy,Random,X,39,0.03,X  OOOO OXOXX  X OXOO O O  XXX O O  XXX      XXX  O   XXXO              XOX OOO  
2025-04-19,17:04:02,Easy,Random,X,37,0.04,XOO  O  OXOXX OOOOXOOOXO  XOX    O  X   O O  XXX      XXX      X        XXX     O
2025-04-19,17:04:25,Medium,Hard,Draw,50,23.38,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:04:25,Random,Random,X,55,0.0,OX  X  XOO  O  OX XO  O O XO XXOXXOXO XOXOXOXXXXXOO  X X XXOO  O OOXX XX  OO OXOO
2025-04-19,17:04:48,Medium,Hard,Draw,50,22.87,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:04:48,Random,Easy,Draw,57,0.03,OXX   XXXOOXXXX XXOOOX    XXOOOOOX XOOXOX XXXOOXOX XX OOO      OOO      XOOOOXXXO
2025-04-19,17:05:34,MCTS,Hard,O,36,45.84,OOO X X  X  O X XXXXXX     X OXO O  XO OX   X O  O    OOO  X  X O       X O O O  
2025-04-19,17:05:34,Random,Random,Draw,72,0.0,XOXOOXXXOOXOXXOXOXXOOOXO OXOOXXXOOXXXOOXOXOXXX  XOOXXX OXOXXOXXOXXOOO   OXOOO OO 
2025-04-19,17:06:29,Hard,MCTS,O,46,55.29,XOX O  O X  OOO   OXXXOOOOX  XOXOOO  O XX OOOXXX      O  XX X XXXX         XX OOO
2025-04-19,17:06:51,MCTS,Medium,X,39,21.48,O  XXX   O XO XO  OX XX  X OOOX     XO XO X    O O O  X OX  XXOX O   OOO X     X 
2025-04-19,17:07:11,Medium,MCTS,X,37,20.15,XO  O  O   XXOXOOX  O O O    OO X OOXXX         XOO O XXX      X  XXXOX   OX     
2025-04-19,17:07:23,MCTS,Easy,X,23,12.13,X  X XX  OX  X  X X   X   XO    X   OO       OOO      OO    X  O        O        
2025-04-19,17:07:23,Easy,Easy,X,35,0.07,XOOOOO   XOXX  X  XOXOOO   XOXOX X  XXOXO X  XXX      OOO                        
2025-04-19,17:08:35,MCTS,Hard,X,45,71.91,XO X  X  X  XOXX  XOX O XO OOO        XXOX  XOOO      OOO      XOOXX XOOXOXXOXOX 
2025-04-19,17:08:51,Random,MCTS,O,32,16.03,  X   OOO  O  O  OX  OOO    X       XX  X  OOX X  O  XO X O    O    XXX  X  X XO 
2025-04-19,17:08:51,Easy,Random,X,43,0.04,X O  OO OOX  OO OOXXX O    XX OO  OOXXXO     XXOX  O  XXX   O OXX   O   XXOX  X  
2025-04-19,17:08:53,Medium,Random,X,43,1.2,XXXO O   O O X OO  X O OOOOX X O  OOO OX O  O X  XXO O  XXXX   XXX      O XXXX   
2025-04-19,17:09:25,Random,Hard,O,34,32.04,OX    XXXOOO X X XXX  XOX  X  XO   XXO O    X       X OOO      O  O  O  OOO      
2025-04-19,17:09:26,Medium,Easy,X,37,1.76,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:09:57,MCTS,Hard,X,41,30.32,OX  X  X  OX  X  X  OXXX     XOOXO X XO XXOX  O OO  O    XO XO OX XO  OXOOO      
2025-04-19,17:10:10,MCTS,Easy,X,25,13.09,X XX XXX X   X   XO X X X  O        OO   X   OOO      OOO      O        O        
2025-04-19,17:10:33,Medium,Hard,Draw,50,23.33,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:10:48,Random,Hard,O,42,14.94,XO XO  OX  X  XX XXOOO XXXXO XXO   OOOX X X XOOO      OOO        O XX   OOO     X
2025-04-19,17:11:10,MCTS,Random,X,43,22.08,XXX O  X   OOOO X  X  O X O   O  XXXOX  X  XO  X O O XX   OXXOO O   OOOO X XX OX 
2025-04-19,17:11:43,Hard,Easy,X,37,33.0,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:12:09,Medium,MCTS,O,48,25.91,X  X  OOOX OOXO OX XO O O  XXOOXOXOX OXXOO O   XXX X  OXXOOOX  XXX       OOX     
2025-04-19,17:12:56,Hard,Hard,X,53,47.15,XOOOOO   XOXXO  O XOXOOX XXXXOOXXXOOXXX      X OX OX     OOO   OOXXOOXX OX OX  X 
2025-04-19,17:12:58,Medium,Medium,X,51,2.23,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,17:12:59,Random,Medium,O,44,0.7,XOX OXX  OXX  XXX O XOOXXXO     X XX  X X XOXOOO      OOO       OOOO   X  OOOO X 
2025-04-19,17:13:46,Hard,Hard,X,53,46.86,XOOOOO   XOXXO  O XOXOOX XXXXOOXXXOOXXX      X OX OX     OOO   OOXXOOXX OX OX  X 
2025-04-19,17:13:48,Medium,Medium,X,51,2.21,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,17:14:31,MCTS,MCTS,X,43,43.09,   X  OOO XO OO  O      XX   XOXOX  OX  XO XOXX X  X   XO O OOXXO  XO  XX  OO XOX
2025-04-19,17:14:55,Hard,Medium,X,51,24.08,XOOOOO   XOXXO  O XOXOOXOXXXXOO XXOOXXX      X OX OX     OOO   O  X  XXOX  XXXOO 
2025-04-19,17:15:06,Easy,MCTS,O,22,11.13,XO  O  O XXO  O  OX O O O      O    XXX      X        OX       X        X        
2025-04-19,17:15:08,Medium,Easy,X,37,1.75,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:15:19,MCTS,Easy,X,21,11.16,X   X   XOOX X X  O  X  XXXO        O                 OXO      O        OO       
2025-04-19,17:15:20,Easy,Medium,O,26,1.07,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:15:40,MCTS,Random,X,37,19.12, X  X OX    OO X  X X X X O      XOXO OXXXOO       OO X   X O X  O OXOX OOO    X 
2025-04-19,17:15:40,Random,Random,O,66,0.0,OX OOOXOXOOX XOXOOOXOXXOX OXXOXOO OOXOXOXOO O XXOX  XXX O  O  OXOXXX  XOXXOXOXXOX
2025-04-19,17:16:25,MCTS,MCTS,X,45,45.12,XXO       OOX XOO   XO X OXOX X  OOO X OX  XO      OOOXXXXO   OOOOX  XX   O  XXXX
2025-04-19,17:17:13,Hard,Hard,X,53,48.7,XOOOOO   XOXXO  O XOXOOX XXXXOOXXXOOXXX      X OX OX     OOO   OOXXOOXX OX OX  X 
2025-04-19,17:17:16,Medium,Medium,X,51,2.26,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,17:17:39,Medium,Hard,Draw,50,23.77,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:17:39,Easy,Random,X,37,0.03,XOO OO  OXXOOO OO XXX  OO  XX    O  XXXO   O XX  O    XXX      XOX      X     O  
2025-04-19,17:17:52,MCTS,Easy,X,23,12.09, XX  X  XO  XXX X O X X X  O        OO       OOO  X   O        O        O        
2025-04-19,17:17:53,Medium,Easy,X,37,1.75,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:23:45,MCTS,Random,X,23,12.06,  X O               X XOX O   O X     O  OX  X OX OX    O  O  O            XXX   
2025-04-19,17:23:46,Easy,Medium,O,26,1.16,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:24:06,Random,MCTS,O,40,20.04, XX  X O OXX O   O O  O  O OX XX   XO  OXXO    XOOO X X  O  X   OXO   XX    XXOOO
2025-04-19,17:24:56,Hard,Hard,X,53,49.29,XOOOOO   XOXXO  O XOXOOX XXXXOOXXXOOXXX      X OX OX     OOO   OOXXOOXX OX OX  X 
2025-04-19,17:25:14,Random,MCTS,O,36,18.05,  OX   XX X XO   O XXX    OOO  OO O O  XOXX O  OX O  O  O     O O  X X  X  XXX   
2025-04-19,17:25:15,Random,Medium,O,38,0.82, X  X XX O  OOOXX      XXXXO  XOX  XOX    X XOXOXO    OOO      OOO      OOO  X   
2025-04-19,17:25:17,Medium,Medium,X,51,2.29,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,17:25:46,Easy,Hard,O,26,28.88,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:26:09,Hard,Medium,X,51,23.08,XOOOOO   XOXXO  O XOXOOXOXXXXOO XXOOXXX      X OX OX     OOO   O  X  XXOX  XXXOO 
2025-04-19,17:26:38,Easy,Hard,O,26,29.3,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:27:00,Medium,MCTS,O,40,21.56,XO  O  O XOX O  O O X O O O   O X OOXXX         X O OO X     OO X XOXXXOX  X XXX 
2025-04-19,17:27:11,Easy,MCTS,O,22,11.14,XO  O  O XOX O  O XXO  O  O        OXX                         XX       XXO      
2025-04-19,17:27:11,Random,Easy,O,32,0.02,  XXX X XOXX   XXXOOO      O   X X  OOO   X         X OOO      OOXO     OO     X 
2025-04-19,17:27:22,Easy,MCTS,O,22,11.09,X  OOO   X OOO O  O  O  O  XXX      XX       X        XXX            O           
2025-04-19,17:27:37,MCTS,Easy,X,29,15.17,  X   XXXOO XXX   O     XXXOO       XO       OO       OO       OOO  X   OX X   X 
2025-04-19,17:27:37,Random,Random,X,69,0.0,X  X  X  OOO XXXOXXXXOOX  OXXOOXXXOOXOXOOXOXXOOXXOOOOXOXXOXOXOOXOOXOO XXOX OOXOX 
2025-04-19,17:27:39,Medium,Medium,X,51,2.1,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,17:27:39,Random,Easy,O,38,0.03,X XX  X  OXX X  XXOOO     XOOOXX    OOXOX O  O    X  XOOO      O     X  OOOX  X  
2025-04-19,17:28:02,Medium,Hard,Draw,50,22.85,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:28:26,Medium,Hard,Draw,50,23.43,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:28:26,Random,Easy,O,30,0.02, XX X X XO     XXXOO X X   OX     X O X    XXO        OOO      OOO      OOO      
2025-04-19,17:28:36,MCTS,Easy,X,19,10.09,XO X  X  O     XXX XX X X  O        O                 OOO      O        O        
2025-04-19,17:28:56,Random,MCTS,O,40,20.07, X   OX X XO O O   XO X  XXX X   OOOO  OX O   O  XXOOO X XXX   O   O  X O OX O  X
2025-04-19,17:29:18,MCTS,Medium,X,43,22.7,      XXXO  XXX    X  X XX   OOXXXXXOOOXX    O  O XOXOO  OOX  X O OOO    O O OO X
2025-04-19,17:29:28,Easy,MCTS,O,20,10.04,XO  O OO X O O O  X O O O           XXX               XXX      X                 
2025-04-19,17:29:29,Random,Medium,O,40,0.53,   XXO  X   XXX   OOO X  XXOOX O X XXOXOOXXXXOOOX       XOO       OO      O O O  
2025-04-19,17:29:48,Random,MCTS,O,38,19.06, O  XX      XX XOX O   XX OOOO      X O  O  O   X  OOOO  X OO X X X  XO   XXOX XO
2025-04-19,17:30:07,Random,MCTS,O,38,19.05,OOX  XX XXO   X  X   OOO   X XX OX  OXX O     O OOXXO O  O X O     X   XO XO  O  
2025-04-19,17:30:57,Hard,Hard,X,53,49.74,XOOOOO   XOXXO  O XOXOOX XXXXOOXXXOOXXX      X OX OX     OOO   OOXXOOXX OX OX  X 
2025-04-19,17:31:16,Medium,MCTS,O,36,18.9,XX OOO O   OXO O   OX O  O X  OXXOXXXXXOO       OXO    XX       X X X O    O     
2025-04-19,17:38:54,MCTS,Medium,O,40,21.01,XOX  X  X   XXX X OOO X XOXOOO      O  XOXX X O  O  O    XO OXXXX  O O  OOO      
2025-04-19,17:39:37,MCTS,Hard,X,43,42.92,  X  X  XO     XXXO XOXXX  O  XOX OOX  XO XXO  O O O  OOO X    OXOXO  O XO    XXO
2025-04-19,17:39:55,MCTS,Random,X,35,18.06,   XXX   XO X  X  O  XO  X  O  OXXO   X X X     OOOX    OOO O O  XO X OX O    X  
2025-04-19,17:39:56,Easy,Medium,O,26,1.01,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:40:26,Easy,Hard,O,26,29.59,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:40:26,Random,Easy,O,40,0.02,XOO XXX XXOX X X XOX X X XXOOOX  X  OOO  X   OOO      OOO      O  X    XOOO      
2025-04-19,17:40:49,Hard,Medium,X,51,23.85,XOOOOO   XOXXO  O XOXOOXOXXXXOO XXOOXXX      X OX OX     OOO   O  X  XXOX  XXXOO 
2025-04-19,17:41:22,Hard,Easy,X,37,32.56,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:41:34,MCTS,Easy,X,23,12.08,   XXX  XX  XX X     XXX   OOO      OOO    X OO       O        O        O        
2025-04-19,17:41:57,Medium,Hard,Draw,50,23.09,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:42:07,Random,Hard,O,48,10.08,OXOOXXXOXXOXXXOOX XXXOX   XO  X O XXOOO       XOO XX  OOO X   XOOO    X OOO      
2025-04-19,17:42:07,Random,Easy,O,30,0.02,    XXXXX  X  X  XOOX   X XX    X   O    X   OOO      OOO      OOO      OOO    X 
2025-04-19,17:42:40,Hard,Easy,X,37,32.69,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:43:08,Easy,Hard,O,26,28.16,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:43:08,Random,Easy,O,42,0.03,XOXOX   XX   XX  XOOXXO  OXOXOOX X  OOO      OOO X X  OXO    XXO    X  XOOO      
2025-04-19,17:43:57,MCTS,MCTS,X,49,49.11,XXX  OX OOOXOX XOOOOO  O    X XX OX O X OX OX X OXX X OOOO  XX  X OOO XOXXX      
2025-04-19,17:43:57,Random,Easy,X,33,0.03,XO X  XX OX XXXX  X X  X XXOOOX     O      X OOO      OOO      OOO      O     X  
2025-04-19,17:44:32,Hard,Easy,X,37,34.32,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:44:33,Easy,Medium,O,26,1.01,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:44:55,Medium,Hard,Draw,50,22.87,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:45:22,MCTS,Medium,X,49,26.06,OXOOXXO  OOX  XXOXX   X   XXO XO  XXXO OXXXOXOOO      OO    XXX X OOX OX  OOO O  
2025-04-19,17:46:05,MCTS,Hard,X,45,43.8,XXXO X   O X OX  OOO XXX   X  OX  OXO O    XXOOO     X      XXXO X O OXOO OXXOOOX
2025-04-19,17:46:06,Medium,Random,X,33,0.77,XXXO OO O O  OXO OO  OO  OOXXX   O  X XO      X    O  XXX        X       X XX    
2025-04-19,17:46:08,Medium,Easy,X,37,1.72,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:46:25,Easy,MCTS,O,34,17.14,X     OOOXOXXOO OOX O O O  O      O X     O  XXX      XXO  O  OXXX      XXX      
2025-04-19,17:46:27,Medium,Medium,X,51,2.16,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  XO OOXOX XOX
2025-04-19,17:47:00,MCTS,MCTS,X,33,33.1,  O XO       O  O O XOX O    XO XO  XX    OOO  OX  O    X X XO  XO X  X X  X  X  
2025-04-19,17:47:23,Hard,Medium,X,51,23.06,XOOOOO   XOXXO  O XOXOOXOXXXXOO XXOOXXX      X OX OX     OOO   O  X  XXOX  XXXOO 
2025-04-19,17:47:25,Medium,Easy,X,37,1.6,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:47:42,Random,Hard,O,36,17.03, OXOOO XXX OX   X XO X   X XXOOXX X O  O  OX    OX            XOOO X    O  O  O  
2025-04-19,17:48:39,Hard,Random,X,49,56.64,X  XOOX OOX OXO X X XOXOOOXO XXOOOX OOXXOOX  XXX         XXOOX  XO XO O X  O     
2025-04-19,17:49:02,Hard,Medium,X,51,23.3,XOOOOO   XOXXO  O XOXOOXOXXXXOO XXOOXXX      X OX OX     OOO   O  X  XXOX  XXXOO 
2025-04-19,17:49:24,Medium,Hard,Draw,50,22.6,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:49:26,Medium,Random,X,51,1.29,X XOXOXOOO X XOXOOO OX O  OX O XOO  XOO OOOO XXX      OXXXOXOOXXXX        XXX X  
2025-04-19,17:50:06,MCTS,MCTS,O,40,40.14,   XX OOO XO  O  O  X  XOOO   OO   XXXO X  X  OX XO X  X  OO X  O  O XO X  XOXX  
2025-04-19,17:50:16,Easy,MCTS,O,20,10.06,X  OOO   O   O   OO   O   OX        XXX  O   XXX                        XX       
2025-04-19,17:50:33,MCTS,Easy,X,33,17.14,XO X  X  OOXX XX XOOXXX X  OOO       X  XX X OOO      OOO      O        XO       
2025-04-19,17:50:34,Random,Medium,O,40,0.65,XOXOXX   XXXO  XOXOOOX X  X XOXOXO  OXXO  O  OOO      OOX   X      X     OO      
2025-04-19,17:50:54,Medium,MCTS,O,38,20.33,X O O O   OX O  O XXO O O O   XOO OOXXX         O X O X  X   O X  X XXOX X X   XO
2025-04-19,17:50:56,Medium,Easy,X,37,1.59,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:51:10,Easy,MCTS,O,28,14.13,X O  O  OX O O OO XOX OOOO          XX  O    XXX      XX   O   XX       X        
